x	y	z	f
13	2	7	0.4754
13	2	9	0.6113
13	2	11	0.7471
13	6	7	1.4263
13	6	9	1.8339
13	6	11	2.2414
13	11	7	2.6149
13	11	9	3.3621
13	11	11	4.1092
13	12	7	2.8527
13	12	9	3.6677
13	12	11	4.4828
17	2	7	0.6217
17	2	9	0.7994
17	2	11	0.9770
17	6	7	1.8652
17	6	9	2.3981
17	6	11	2.9310
17	11	7	3.4195
17	11	9	4.3966
17	11	11	5.3736
17	12	7	3.7304
17	12	9	4.7962
17	12	11	5.8621
23	2	7	0.8412
23	2	9	1.0815
23	2	11	1.3218
23	6	7	2.5235
23	6	9	3.2445
23	6	11	3.9655
23	11	7	4.6264
23	11	9	5.9483
23	11	11	7.2701
23	12	7	5.0470
23	12	9	6.4890
23	12	11	7.9310
29	2	7	1.0606
29	2	9	1.3636
29	2	11	1.6667
29	6	7	3.1818
29	6	9	4.0909
29	6	11	5.0000
29	11	7	5.8333
29	11	9	7.5000
29	11	11	9.1667
29	12	7	6.3636
29	12	9	8.1818
29	12	11	10.0000
31	2	7	1.1338
31	2	9	1.4577
31	2	11	1.7816
31	6	7	3.4013
31	6	9	4.3730
31	6	11	5.3448
31	11	7	6.2356
31	11	9	8.0172
31	11	11	9.7989
31	12	7	6.8025
31	12	9	8.7461
31	12	11	10.6897
